Dashboard Config,Configuration du tableau de bord,
Dashboard Expiration (Minute),Expiration du tableau de bord,
Dashboard Expiration cannot less than 0,L'expiration du tableau de bord ne peut pas être inférieure à 0,
Dashboard ID,ID du tableau de bord,
Edit,Modifier,Metabase
Linked DocTypes,Types de documents liés,
Metabase Dashboard View,Vue tableau de bord Metabase,
Metabase Dashboard,Tableau de bord Metabase,
Metabase Integration,Intégation Metabase,
Metabase Linked DocTypes,Types de documents liés Metabase,
Metabase Settings,Paramètres Metabase,
Metabase,Metabase,
No metabase dashboard available for this document type.,Aucun tableau de bord Metabase n'est disponible pour ce type de document,
Server URL,URL du serveur,
Show Border,Afficher les bordures,
View Dashboard,Voir le tableau de bord,
Widget Height (%),Hauteur du widget (%),
